BOULDER,,
6/28/2021,72,51
6/29/2021,76,49
6/30/2021,81,50
7/1/2021,77,57
7/2/2021,83,52
7/3/2021,87,55
7/4/2021,85,57
7/5/2021,86,56
7/6/2021,83,59
7/7/2021,87,56
7/8/2021,98,56
7/9/2021,94,67
7/10/2021,91,58
7/11/2021,84,52
7/12/2021,88,52
7/13/2021,87,62
7/14/2021,78,58
7/15/2021,82,52
7/16/2021,90,54
7/17/2021,91,56
7/18/2021,91,56
7/19/2021,92,58
7/20/2021,93,56
7/21/2021,89,61
7/22/2021,94,61
7/23/2021,93,65
7/24/2021,86,62
7/25/2021,90,61
7/26/2021,91,56
7/27/2021,93,55
7/28/2021,95,58
7/29/2021,89,58
7/30/2021,91,61
7/31/2021,76,61
8/1/2021,80,56
8/2/2021,85,54
8/3/2021,82,62
8/4/2021,81,60
8/5/2021,91,54
8/6/2021,90,53
8/7/2021,81,57
8/8/2021,91,57
8/9/2021,94,59
8/10/2021,94,56
8/11/2021,93,57
8/12/2021,86,60
8/13/2021,84,55
8/14/2021,93,56
8/15/2021,89,62
8/16/2021,91,56
8/17/2021,95,56
8/18/2021,92,59
8/19/2021,82,61
8/20/2021,79,49
8/21/2021,82,50
8/22/2021,90,52
8/23/2021,90,56
8/24/2021,93,56
8/25/2021,88,57
8/26/2021,83,55
8/27/2021,91,56
8/28/2021,89,57
8/29/2021,83,57
8/30/2021,91,51
8/31/2021,94,55
9/1/2021,87,57
9/2/2021,82,58
9/3/2021,81,60
9/4/2021,84,50
9/5/2021,87,50
9/6/2021,95,52
9/7/2021,86,55
9/8/2021,87,49
9/9/2021,95,49
9/10/2021,99,55
9/11/2021,95,61
9/12/2021,85,57
9/13/2021,83,55
9/14/2021,78,57
9/15/2021,90,48
9/16/2021,91,57
9/17/2021,74,44
9/18/2021,91,43
9/19/2021,88,68
9/20/2021,79,53
9/21/2021,66,37
9/22/2021,79,39
9/23/2021,83,50
9/24/2021,73,45
9/25/2021,87,42
9/26/2021,90,53
9/27/2021,88,45
9/28/2021,82,57
9/29/2021,71,52
9/30/2021,54,42
10/1/2021,67,41
10/2/2021,72,43
10/3/2021,79,43
10/4/2021,82,47
10/5/2021,83,43
10/6/2021,77,43
10/7/2021,79,48
10/8/2021,76,46
10/9/2021,68,48
10/10/2021,70,38
10/11/2021,70,38
10/12/2021,54,38
10/13/2021,61,33
10/14/2021,50,30
10/15/2021,56,26
10/16/2021,71,31
10/17/2021,75,35
10/18/2021,76,43
10/19/2021,65,37
10/20/2021,65,27
10/21/2021,63,34
10/22/2021,75,34
10/23/2021,73,39
10/24/2021,70,36
10/25/2021,73,36
10/26/2021,71,38
10/27/2021,59,32
10/28/2021,59,34
10/29/2021,76,36
10/30/2021,76,43
10/31/2021,55,36
11/1/2021,39,33
11/2/2021,44,33
11/3/2021,61,35
11/4/2021,70,32
11/5/2021,75,45
11/6/2021,75,35
11/7/2021,78,44
11/8/2021,55,31
11/9/2021,55,28
11/10/2021,57,37
11/11/2021,55,26
11/12/2021,56,24
11/13/2021,67,39
11/14/2021,66,31
11/15/2021,73,53
11/16/2021,72,56
11/17/2021,59,24
11/18/2021,51,16
11/19/2021,66,29
11/20/2021,58,35
11/21/2021,58,25
11/22/2021,70,31
11/23/2021,70,33
11/24/2021,57,32
11/25/2021,61,17
11/26/2021,72,34
11/27/2021,58,34
11/28/2021,67,28
11/29/2021,74,47
11/30/2021,59,36
12/1/2021,72,42
12/2/2021,72,40
12/3/2021,61,33
12/4/2021,69,28
12/5/2021,64,31
12/6/2021,31,14
12/7/2021,56,21
12/8/2021,56,25
12/9/2021,51,38
12/10/2021,42,24
12/11/2021,49,16
12/12/2021,65,33
12/13/2021,56,28
12/14/2021,62,31
12/15/2021,56,31
12/16/2021,46,31
12/17/2021,45,26
12/18/2021,39,7
12/19/2021,62,18
12/20/2021,62,33
12/21/2021,63,25
12/22/2021,63,32
12/23/2021,63,41
12/24/2021,55,38
12/25/2021,54,34
12/26/2021,52,23
12/27/2021,44,21
12/28/2021,37,23
12/29/2021,33,10
12/30/2021,44,16
12/31/2021,44,25
1/1/2022,25,5
1/2/2022,50,-4
1/3/2022,51,22
1/4/2022,49,30
1/5/2022,36,11
1/6/2022,20,0
1/7/2022,63,7
1/8/2022,58,39
1/9/2022,40,19
1/10/2022,54,19
1/11/2022,56,27
1/12/2022,57,28
1/13/2022,59,40
1/14/2022,53,31
1/15/2022,50,15
1/16/2022,60,35
1/17/2022,56,23
1/18/2022,50,35
1/19/2022,42,19
1/20/2022,27,15
1/21/2022,33,22
1/22/2022,44,17
1/23/2022,53,22
1/24/2022,47,28
1/25/2022,40,21
1/26/2022,38,6
1/27/2022,31,20
1/28/2022,51,9
1/29/2022,57,27
1/30/2022,54,22
1/31/2022,61,23
2/1/2022,51,22
2/2/2022,22,7
2/3/2022,24,-11
2/4/2022,40,4
2/5/2022,50,17
2/6/2022,39,20
2/7/2022,54,20
2/8/2022,54,35
2/9/2022,56,38
2/10/2022,61,26
2/11/2022,49,26
2/12/2022,39,7
2/13/2022,59,19
2/14/2022,55,25
2/15/2022,60,36
2/16/2022,51,21
2/17/2022,34,5
2/18/2022,45,19
2/19/2022,57,23
2/20/2022,62,34
2/21/2022,57,18
2/22/2022,18,-2
2/23/2022,11,-4
2/24/2022,25,1
2/25/2022,26,2
2/26/2022,36,6
2/27/2022,55,15
2/28/2022,66,32
3/1/2022,70,41
3/2/2022,66,38
3/3/2022,69,39
3/4/2022,68,31
3/5/2022,56,27
3/6/2022,29,18
3/7/2022,29,5
3/8/2022,41,11
3/9/2022,34,10
3/10/2022,22,2
3/11/2022,33,2
3/12/2022,56,17
3/13/2022,61,31
3/14/2022,56,29
3/15/2022,69,29
3/16/2022,63,42
3/17/2022,45,30
3/18/2022,52,19
3/19/2022,60,28
3/20/2022,66,31
3/21/2022,57,29
3/22/2022,47,22
3/23/2022,58,22
3/24/2022,67,30
3/25/2022,62,39
3/26/2022,78,36
3/27/2022,73,32
3/28/2022,77,43
3/29/2022,70,43
3/30/2022,51,30
3/31/2022,65,26
4/1/2022,60,39
4/2/2022,68,27
4/3/2022,66,40
4/4/2022,69,29
4/5/2022,64,44
4/6/2022,49,28
4/7/2022,58,27
4/8/2022,69,24
4/9/2022,78,45
4/10/2022,70,34
4/11/2022,59,25
4/12/2022,58,38
4/13/2022,39,12
4/14/2022,57,20
4/15/2022,65,35
4/16/2022,55,28
4/17/2022,63,28
4/18/2022,59,24
4/19/2022,82,32
4/20/2022,73,45
4/21/2022,78,37
4/22/2022,85,38
4/23/2022,67,30
4/24/2022,52,31
4/25/2022,55,30
4/26/2022,74,30
4/27/2022,74,43
4/28/2022,75,40
4/29/2022,69,43
4/30/2022,65,37
5/1/2022,64,32
5/2/2022,58,35
5/3/2022,52,36
5/4/2022,52,37
5/5/2022,71,35
5/6/2022,81,46
5/7/2022,86,47
5/8/2022,80,40
5/9/2022,71,44
5/10/2022,71,40
5/11/2022,87,42
5/12/2022,80,48
5/13/2022,75,46
5/14/2022,80,49
5/15/2022,77,47
5/16/2022,87,43
5/17/2022,85,49
5/18/2022,84,48
5/19/2022,86,45
5/20/2022,84,32
5/21/2022,45,32
5/22/2022,58,30
5/23/2022,61,37
5/24/2022,56,38
5/25/2022,71,34
5/26/2022,82,40
5/27/2022,87,50
5/28/2022,82,51
5/29/2022,79,51
5/30/2022,64,44
5/31/2022,63,38
6/1/2022,54,39
6/2/2022,69,39
6/3/2022,73,45
6/4/2022,83,44
6/5/2022,80,52
6/6/2022,76,51
6/7/2022,79,50
6/8/2022,77,49
6/9/2022,88,50
6/10/2022,90,48
6/11/2022,99,58
6/12/2022,96,60
6/13/2022,95,65
6/14/2022,90,52
6/15/2022,87,45
6/16/2022,91,52
6/17/2022,91,58
6/18/2022,90,61
6/19/2022,87,63
6/20/2022,87,57
6/21/2022,85,47
6/22/2022,82,49
6/23/2022,91,51
6/24/2022,89,60
6/25/2022,72,53
6/26/2022,68,56
6/27/2022,85,48
6/28/2022,91,52
6/29/2022,92,60
6/30/2022,82,63
7/1/2022,84,51
7/2/2022,89,54
7/3/2022,88,57
7/4/2022,92,58
7/5/2022,88,58
7/6/2022,86,63
7/7/2022,90,53
7/8/2022,94,55
7/9/2022,99,58
7/10/2022,98,59
7/11/2022,81,60
7/12/2022,93,54
7/13/2022,96,56
7/14/2022,96,67
7/15/2022,89,62
7/16/2022,91,62
7/17/2022,97,58
7/18/2022,99,65
7/19/2022,100,71
7/20/2022,94,61
7/21/2022,94,57
7/22/2022,97,65
7/23/2022,96,67
7/24/2022,78,57
7/25/2022,89,56
7/26/2022,88,57
7/27/2022,86,58
7/28/2022,82,60
7/29/2022,81,58
7/30/2022,91,51
7/31/2022,90,61
8/1/2022,93,60
8/2/2022,93,66
8/3/2022,88,62
8/4/2022,95,58
8/5/2022,93,63
8/6/2022,89,64
8/7/2022,84,62
8/8/2022,87,55
8/9/2022,92,59
8/10/2022,93,60
8/11/2022,94,59
8/12/2022,91,61
8/13/2022,90,61
8/14/2022,88,61
8/15/2022,80,62
8/16/2022,71,61
8/17/2022,83,53
8/18/2022,86,53
8/19/2022,84,56
8/20/2022,78,57
8/21/2022,78,53
8/22/2022,84,53
8/23/2022,86,54
8/24/2022,85,53
8/25/2022,85,55
8/26/2022,81,57
8/27/2022,91,56
8/28/2022,94,69
8/29/2022,86,53
8/30/2022,91,54
8/31/2022,90,57
9/1/2022,94,53
9/2/2022,93,60
9/3/2022,90,54
9/4/2022,95,54
9/5/2022,95,60
9/6/2022,96,59
9/7/2022,95,57
9/8/2022,97,61
9/9/2022,82,50
9/10/2022,55,45
9/11/2022,75,39
9/12/2022,87,46
9/13/2022,82,50
9/14/2022,80,57
9/15/2022,78,52
9/16/2022,78,47
9/17/2022,80,51
9/18/2022,82,47
9/19/2022,90,50
9/20/2022,90,57
9/21/2022,79,52
9/22/2022,59,47
9/23/2022,81,47
9/24/2022,81,47
9/25/2022,73,43
9/26/2022,82,44
9/27/2022,80,48
9/28/2022,82,45
9/29/2022,82,54
9/30/2022,79,50
10/1/2022,71,46
10/2/2022,74,46
10/3/2022,74,46
10/4/2022,65,42
10/5/2022,70,42
10/6/2022,72,41
10/7/2022,57,38
10/8/2022,66,36
10/9/2022,73,37
10/10/2022,78,40
10/11/2022,78,49
10/12/2022,71,36
10/13/2022,66,35
10/14/2022,78,42
10/15/2022,65,40
10/16/2022,59,43
10/17/2022,65,32
10/18/2022,69,32
10/19/2022,77,39
10/20/2022,82,39
10/21/2022,77,49
10/22/2022,77,48
10/23/2022,67,45
10/24/2022,53,30
10/25/2022,61,38
10/26/2022,57,33
10/27/2022,51,33
10/28/2022,59,27
10/29/2022,61,30
10/30/2022,61,31
10/31/2022,70,32
11/1/2022,71,34
11/2/2022,69,45
11/3/2022,51,32
11/4/2022,44,24
11/5/2022,57,32
11/6/2022,54,36
